IMG_ID,dice_artery,artery_voxels,both_correct,both_tolerable,left_intersects,right_intersects,left_dist_mm,right_dist_mm,ostia_left,ostia_right,error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
867,,,False,False,False,False,,,,,"Segundo óstio não encontrado! Tentou 2000 candidatos. Restrições: dist>=85.0, z_diff<=40.0mm, x_sep>=34.0. Tente aumentar 'top_n' ou relaxar os fatores.",erro,scipy,N/A,"(1, 1, 1)",99.7
450,0.6330838918004639,208376.0,False,True,False,False,0.74609375,2.604472963757795,"(208, 314, 147)","(199, 239, 167)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
788,0.6331646368623799,293017.0,False,True,False,True,2.609764572575001,0.0,"(182, 356, 217)","(238, 303, 247)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
362,,,False,False,True,False,0.0,9.116615937793286,"(201, 334, 188)","(253, 181, 190)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
10,0.5943284851577784,191923.0,False,True,False,True,1.8275406384417967,0.0,"(183, 319, 176)","(240, 256, 213)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
605,0.668303721294558,210659.0,True,False,True,True,0.0,0.0,"(182, 336, 147)","(212, 257, 186)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
23,,,False,False,False,False,31.965738074452954,50.70708680743095,"(187, 313, 249)","(97, 269, 249)",,nenhum correto,scipy,N/A,"(1, 1, 1)",99.7
553,,,False,False,False,True,14.668981557285377,0.0,"(138, 311, 192)","(246, 241, 186)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
922,0.3319400049176297,45368.0,False,True,True,False,0.0,1.1855002178833889,"(192, 325, 162)","(230, 252, 197)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
682,0.5973012782105053,182825.0,False,True,False,False,0.5927501089416944,5.4295448778480875,"(167, 328, 137)","(187, 234, 170)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
934,0.6985608293074408,196680.0,False,True,False,True,1.0623276514628148,0.0,"(171, 334, 218)","(231, 276, 245)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
737,0.532829640834057,369826.0,False,True,True,False,0.0,1.9729810994901376,"(186, 350, 214)","(209, 260, 235)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
510,0.5474834627552487,296694.0,False,True,False,False,0.361328125,0.361328125,"(177, 313, 178)","(230, 233, 221)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
2,0.513617345589722,99686.0,False,True,False,False,0.7421875,4.86752136946789,"(172, 316, 223)","(282, 230, 235)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
420,,,False,False,True,False,0.0,49.99407221941495,"(250, 221, 210)","(122, 134, 214)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
881,0.6457021186681728,142976.0,True,False,True,True,0.0,0.0,"(209, 342, 189)","(253, 264, 232)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
11,,,False,False,False,False,,,,,"Segundo óstio não encontrado! Tentou 2000 candidatos. Restrições: dist>=75.9, z_diff<=40.0mm, x_sep>=30.3. Tente aumentar 'top_n' ou relaxar os fatores.",erro,scipy,N/A,"(1, 1, 1)",99.7
906,,,False,False,True,False,0.0,10.89633453752957,"(193, 318, 125)","(282, 232, 142)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
251,,,False,False,False,False,19.55887460478399,0.318359375,"(149, 273, 186)","(243, 216, 179)",,nenhum correto,scipy,N/A,"(1, 1, 1)",99.7
409,0.4478009773434029,80615.0,True,False,True,True,0.0,0.0,"(184, 308, 187)","(248, 233, 224)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
134,,,False,False,False,False,,,,,"Segundo óstio não encontrado! Tentou 2000 candidatos. Restrições: dist>=118.8, z_diff<=40.0mm, x_sep>=47.5. Tente aumentar 'top_n' ou relaxar os fatores.",erro,scipy,N/A,"(1, 1, 1)",99.7
822,0.5524405594057682,106854.0,False,True,False,True,0.42578125,0.0,"(176, 350, 146)","(199, 278, 189)",,ambos toleráveis,scipy,N/A,"(1, 1, 1)",99.7
248,0.6708945604537252,171221.0,True,False,True,True,0.0,0.0,"(198, 358, 200)","(241, 287, 228)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
907,,,False,False,True,False,0.0,15.452636217307813,"(190, 294, 120)","(245, 201, 119)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
873,0.7468150959095808,193457.0,True,False,True,True,0.0,0.0,"(178, 308, 166)","(233, 253, 210)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
376,,,False,False,False,False,,,,,"Segundo óstio não encontrado! Tentou 2000 candidatos. Restrições: dist>=98.6, z_diff<=40.0mm, x_sep>=39.4. Tente aumentar 'top_n' ou relaxar os fatores.",erro,scipy,N/A,"(1, 1, 1)",99.7
821,,,False,False,False,True,18.071256527978345,0.0,"(257, 339, 208)","(306, 278, 207)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
988,,,False,False,False,True,10.092014600539862,0.0,"(176, 274, 207)","(233, 230, 219)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
750,0.4261835476125486,94065.0,True,False,True,True,0.0,0.0,"(187, 305, 185)","(217, 242, 210)",,ambos corretos,scipy,N/A,"(1, 1, 1)",99.7
459,,,False,False,False,True,19.29133270611766,0.0,"(216, 328, 205)","(264, 269, 189)",,um correto,scipy,N/A,"(1, 1, 1)",99.7
