IMG_ID,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_coverage,aorta_detected_circle_coverage,aorta_missing_circle_slices,aorta_interpolated_circle_fraction,artery_dice,ostia_detection_status,aorta_circle_first_slice,aorta_circle_last_slice
451,241,105,105,0,0.43568464730290457,0.43568464730290457,136,0.0,0.656262702514372,both tolerable,136,240
207,275,84,84,0,0.3054545454545455,0.3054545454545455,191,0.0,0.5248235271113196,found but incorrect,191,274
747,275,115,115,0,0.41818181818181815,0.41818181818181815,160,0.0,0.5953310846795669,both tolerable,160,274
805,259,94,94,0,0.36293436293436293,0.36293436293436293,165,0.0,0.6433449614307473,both tolerable,165,258
325,206,78,78,0,0.3786407766990291,0.3786407766990291,128,0.0,0.7261559892988871,both tolerable,128,205
645,206,78,78,0,0.3786407766990291,0.3786407766990291,128,0.0,0.532345346356798,both tolerable,128,205
296,275,120,120,0,0.43636363636363634,0.43636363636363634,155,0.0,0.6297693437383016,both tolerable,155,274
694,217,68,68,0,0.31336405529953915,0.31336405529953915,149,0.0,0.6565309718519857,both tolerable,149,216
891,275,98,98,0,0.3563636363636364,0.3563636363636364,177,0.0,0.7290910047897258,both tolerable,177,274
804,249,101,101,0,0.40562248995983935,0.40562248995983935,148,0.0,0.6259911418386086,both tolerable,148,248
72,275,117,117,0,0.4254545454545455,0.4254545454545455,158,0.0,0.7679221584495286,both tolerable,158,274
540,275,126,126,0,0.4581818181818182,0.4581818181818182,149,0.0,0.5237729924533014,both tolerable,149,274
942,275,109,109,0,0.39636363636363636,0.39636363636363636,166,0.0,0.6651496586732014,both tolerable,166,274
279,245,90,90,0,0.3673469387755102,0.3673469387755102,155,0.0,0.753173766872397,both tolerable,155,244
35,275,65,65,0,0.23636363636363636,0.23636363636363636,210,0.0,0.5914776757808384,both tolerable,210,274
602,275,121,121,0,0.44,0.44,154,0.0,0.5760172490048651,found but incorrect,154,274
585,206,121,121,0,0.587378640776699,0.587378640776699,85,0.0,0.5008430123641814,both tolerable,85,205
668,275,123,123,0,0.44727272727272727,0.44727272727272727,152,0.0,6.66266906522753e-05,found but incorrect,152,274
46,275,134,134,0,0.48727272727272725,0.48727272727272725,141,0.0,0.7131551553309169,both tolerable,141,274
193,275,110,110,0,0.4,0.4,165,0.0,0.4278885358378089,found but incorrect,165,274
460,275,112,112,0,0.4072727272727273,0.4072727272727273,163,0.0,0.3314340435719415,both tolerable,163,274
855,275,111,111,0,0.4036363636363636,0.4036363636363636,164,0.0,0.6915927265649078,both tolerable,164,274
651,275,138,138,0,0.5018181818181818,0.5018181818181818,137,0.0,0.5667610433213901,both tolerable,137,274
558,275,110,110,0,0.4,0.4,165,0.0,0.7358900973096737,both tolerable,165,274
996,206,98,98,0,0.47572815533980584,0.47572815533980584,108,0.0,0.7257180629891038,both correct,108,205
391,275,106,106,0,0.38545454545454544,0.38545454545454544,169,0.0,0.4998136414461424,both tolerable,169,274
776,206,101,101,0,0.49029126213592233,0.49029126213592233,105,0.0,0.5415094008391412,both tolerable,105,205
913,209,108,108,0,0.5167464114832536,0.5167464114832536,101,0.0,0.67814911061421,both tolerable,101,208
771,275,125,125,0,0.45454545454545453,0.45454545454545453,150,0.0,0.696036498431708,both tolerable,150,274
180,275,113,113,0,0.4109090909090909,0.4109090909090909,162,0.0,0.6350344268934791,both tolerable,162,274
823,275,128,128,0,0.46545454545454545,0.46545454545454545,147,0.0,0.6935770312268759,both tolerable,147,274
875,237,92,92,0,0.3881856540084388,0.3881856540084388,145,0.0,0.7115782118838977,both tolerable,145,236
358,275,137,137,0,0.49818181818181817,0.49818181818181817,138,0.0,0.4522800474656721,both tolerable,138,274
920,275,111,111,0,0.4036363636363636,0.4036363636363636,164,0.0,0.6409868208781118,both tolerable,164,274
983,275,115,115,0,0.41818181818181815,0.41818181818181815,160,0.0,0.6086805770540524,both tolerable,160,274
753,206,96,96,0,0.46601941747572817,0.46601941747572817,110,0.0,0.0350462266179316,found but incorrect,110,205
772,206,103,103,0,0.5,0.5,103,0.0,0.7014676072326279,both tolerable,103,205
283,275,105,105,0,0.38181818181818183,0.38181818181818183,170,0.0,0.4925292596245092,both tolerable,170,274
604,275,127,127,0,0.4618181818181818,0.4618181818181818,148,0.0,0.6348037945155772,both tolerable,148,274
594,275,132,132,0,0.48,0.48,143,0.0,0.7015952980688497,both tolerable,143,274
316,275,89,89,0,0.3236363636363636,0.3236363636363636,186,0.0,0.3640904514830016,found but incorrect,186,274
446,275,86,86,0,0.31272727272727274,0.31272727272727274,189,0.0,0.4228299300093802,found but incorrect,189,274
294,239,95,95,0,0.39748953974895396,0.39748953974895396,144,0.0,0.6735027922202965,both tolerable,144,238
675,275,137,137,0,0.49818181818181817,0.49818181818181817,138,0.0,0.7627087060226595,both tolerable,138,274
789,275,115,115,0,0.41818181818181815,0.41818181818181815,160,0.0,0.6945419139125163,both tolerable,160,274
814,275,111,111,0,0.4036363636363636,0.4036363636363636,164,0.0,0.7302007596310364,both tolerable,164,274
926,275,98,98,0,0.3563636363636364,0.3563636363636364,177,0.0,0.6666666666666666,both tolerable,177,274
663,275,111,111,0,0.4036363636363636,0.4036363636363636,164,0.0,0.6439198624986572,both tolerable,164,274
599,275,116,116,0,0.4218181818181818,0.4218181818181818,159,0.0,0.7239500697723319,both tolerable,159,274
914,275,82,82,0,0.29818181818181816,0.29818181818181816,193,0.0,0.5700499921615078,both tolerable,193,274
674,275,90,90,0,0.32727272727272727,0.32727272727272727,185,0.0,0.7014719037163536,both tolerable,185,274
783,206,78,78,0,0.3786407766990291,0.3786407766990291,128,0.0,0.651356919579426,both tolerable,128,205
992,275,106,106,0,0.38545454545454544,0.38545454545454544,169,0.0,0.7417176619539987,both tolerable,169,274
515,275,121,121,0,0.44,0.44,154,0.0,0.7472020504058094,both tolerable,154,274
523,275,148,148,0,0.5381818181818182,0.5381818181818182,127,0.0,0.7204214599578074,both correct,127,274
547,275,117,117,0,0.4254545454545455,0.4254545454545455,158,0.0,0.6457752092467118,both tolerable,158,274
162,229,79,79,0,0.34497816593886466,0.34497816593886466,150,0.0,0.3277493121250717,both tolerable,150,228
101,206,55,55,0,0.2669902912621359,0.2669902912621359,151,0.0,0.512889398099678,found but incorrect,151,205
396,245,99,99,0,0.40408163265306124,0.40408163265306124,146,0.0,0.3300254512340346,both tolerable,146,244
835,275,98,98,0,0.3563636363636364,0.3563636363636364,177,0.0,0.0482830385015608,found but incorrect,177,274
974,275,133,133,0,0.48363636363636364,0.48363636363636364,142,0.0,0.7037907811051058,both tolerable,142,274
660,275,145,145,0,0.5272727272727272,0.5272727272727272,130,0.0,0.7641085041618404,both tolerable,130,274
853,275,128,128,0,0.46545454545454545,0.46545454545454545,147,0.0,0.2522669066242126,found but incorrect,147,274
401,275,144,144,0,0.5236363636363637,0.5236363636363637,131,0.0,0.6568320715872064,both tolerable,131,274
490,237,114,114,0,0.4810126582278481,0.4810126582278481,123,0.0,0.3125207752884365,both tolerable,123,236
145,223,80,80,0,0.35874439461883406,0.35874439461883406,143,0.0,0.3983132685250756,both tolerable,143,222
522,275,127,127,0,0.4618181818181818,0.4618181818181818,148,0.0,0.6949981489059059,both correct,148,274
496,275,106,106,0,0.38545454545454544,0.38545454545454544,169,0.0,0.4484225075087047,found but incorrect,169,274
824,275,125,125,0,0.45454545454545453,0.45454545454545453,150,0.0,0.6942574066948827,both correct,150,274
382,275,106,106,0,0.38545454545454544,0.38545454545454544,169,0.0,0.6382060199064636,both tolerable,169,274
716,221,79,79,0,0.3574660633484163,0.3574660633484163,142,0.0,0.6787156378202022,both tolerable,142,220
276,240,79,79,0,0.32916666666666666,0.32916666666666666,161,0.0,0.5918266321984489,both tolerable,161,239
439,227,115,115,0,0.5066079295154186,0.5066079295154186,112,0.0,0.6154706695956391,both tolerable,112,226
407,275,131,131,0,0.4763636363636364,0.4763636363636364,144,0.0,0.6186220812914385,found but incorrect,144,274
746,275,162,162,0,0.5890909090909091,0.5890909090909091,113,0.0,0.7617989841100596,both tolerable,113,274
711,275,154,154,0,0.56,0.56,121,0.0,0.7240435600661383,both correct,121,274
140,275,157,157,0,0.5709090909090909,0.5709090909090909,118,0.0,0.7463133565545753,both tolerable,118,274
456,241,113,113,0,0.46887966804979253,0.46887966804979253,128,0.0,0.5567426643492486,both tolerable,128,240
80,275,160,160,0,0.5818181818181818,0.5818181818181818,115,0.0,0.6444020527150112,both tolerable,115,274
860,275,112,112,0,0.4072727272727273,0.4072727272727273,163,0.0,0.69141554159353,both tolerable,163,274
831,275,113,113,0,0.4109090909090909,0.4109090909090909,162,0.0,0.2685476469467742,both tolerable,162,274
449,251,93,93,0,0.3705179282868526,0.3705179282868526,158,0.0,0.7689433853817416,both tolerable,158,250
767,206,83,83,0,0.4029126213592233,0.4029126213592233,123,0.0,0.0285021398002853,found but incorrect,123,205
190,275,116,116,0,0.4218181818181818,0.4218181818181818,159,0.0,0.6385600267682284,both tolerable,159,274
961,206,79,79,0,0.38349514563106796,0.38349514563106796,127,0.0,0.6898786427804838,both tolerable,127,205
89,275,135,135,0,0.4909090909090909,0.4909090909090909,140,0.0,0.7262804366078925,both tolerable,140,274
707,206,112,112,0,0.5436893203883495,0.5436893203883495,94,0.0,0.6619224686925674,both tolerable,94,205
727,206,93,93,0,0.45145631067961167,0.45145631067961167,113,0.0,0.6558212611186025,both tolerable,113,205
959,275,112,112,0,0.4072727272727273,0.4072727272727273,163,0.0,0.6779646249019778,both tolerable,163,274
618,275,85,85,0,0.3090909090909091,0.3090909090909091,190,0.0,0.672709094783079,both tolerable,190,274
