IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,fuzzy_dense_membership_threshold,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
251,0.5724428582276558,22203.0,region_growing,,,,,normal,,,-108.0,635.5,percentile,10.75,,,9210870,9037963,206,71,71,0,135,205,0.3446601941747573,yes,both tolerable,yes,no,,,no,yes,no,no,0.8095744354916121,1.029961908617559,"(95, 147, 154)","(121, 110, 179)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
409,0.5883438289679516,21159.0,region_growing,,,,,normal,,,-114.75,703.5,percentile,10.75,,,11389804,11101232,263,73,73,0,190,262,0.27756653992395436,yes,both tolerable,yes,no,,,no,yes,no,no,1.703254904736168,0.5,"(94, 152, 185)","(122, 117, 221)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
134,0.0,7769.0,region_growing,,,,,normal,,,-116.5,869.25,percentile,10.75,,,9198713,8983116,206,116,116,0,90,205,0.5631067961165048,yes,found but incorrect,yes,yes,,,no,no,no,no,22.9872812680764,45.89418032118577,"(100, 158, 100)","(39, 96, 114)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
822,0.0,,region_growing,,,,,normal,,,-108.0,796.5,percentile,10.75,,,11300146,11099248,275,3,3,0,272,274,0.01090909090909091,no,not found,no,no,ostia_not_found,Nenhuma superfície de aorta encontrada!,no,no,no,no,,,,,,ostia not found,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
248,0.5088689181753872,13240.0,region_growing,,,,,normal,,,-110.5,905.75,percentile,10.75,,,9888318,9531789,275,90,90,0,185,274,0.32727272727272727,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,21.585732502193434,"(99, 178, 199)","(96, 147, 176)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
907,0.7502864417568428,32090.0,region_growing,,,,,normal,,,-126.25,653.75,percentile,10.75,,,8749098,8572827,206,120,120,0,86,205,0.5825242718446602,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(96, 146, 118)","(118, 98, 154)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
873,0.7973227565691621,29811.0,region_growing,,,,,normal,,,-117.0,897.75,percentile,10.75,,,10076361,9757123,233,87,87,0,146,232,0.37339055793991416,yes,both tolerable,yes,no,,,no,yes,no,no,2.484375,1.2734135350505742,"(95, 152, 172)","(113, 126, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
376,0.7312414206445875,23626.0,region_growing,,,,,normal,,,-104.25,927.75,percentile,10.75,,,12564020,12203056,275,93,93,0,182,274,0.3381818181818182,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.9013878188659973,"(84, 196, 198)","(98, 159, 232)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
821,0.7726967313544919,25790.0,region_growing,,,,,normal,,,-104.5,1113.0,percentile,10.75,,,11777577,11377103,275,109,109,0,166,274,0.39636363636363636,yes,both tolerable,yes,no,,,no,yes,no,no,2.0432936225919662,1.232890721536179,"(135, 168, 171)","(150, 140, 206)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
988,0.7349655336344189,18040.0,region_growing,,,,,normal,,,-115.25,845.0,percentile,10.75,,,11375941,11234797,275,67,67,0,208,274,0.24363636363636362,yes,both tolerable,yes,no,,,no,yes,no,no,1.4453125,1.1377451873456221,"(107, 141, 200)","(115, 116, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,5,no,yes
