IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,fuzzy_dense_membership_threshold,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
23,0.6094240837696335,17673,region_growing,,,,,normal,,,-125.25,655.0,percentile,10.75,,,11354180,11347810,275,144,144,0,131,274,0.5236363636363637,yes,both tolerable,yes,no,,,no,yes,no,no,1.5234375,1.6823244199920426,"(100, 174, 153)","(106, 136, 189)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
553,0.5611049944950456,23433,region_growing,,,,,normal,,,-112.5,577.5,percentile,10.75,,,11692915,11685278,275,146,146,0,129,274,0.5309090909090909,yes,both tolerable,yes,no,,,no,yes,no,no,1.8559456623936523,1.0,"(105, 154, 147)","(122, 122, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
922,0.6534303992940658,12195,region_growing,,,,,normal,,,-112.75,602.0,percentile,10.75,,,11718162,11712587,275,122,122,0,153,274,0.44363636363636366,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.345667690480501,"(95, 162, 161)","(115, 127, 197)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
682,0.7373909425424853,42707,region_growing,,,,,normal,,,-115.75,852.5,percentile,10.75,,,9985741,9976247,206,115,112,3,91,205,0.558252427184466,yes,both tolerable,yes,no,,,no,yes,no,no,1.029961908617559,0.5,"(84, 163, 137)","(101, 120, 178)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
934,0.7457487798612895,28929,region_growing,,,,,normal,,,-84.75,1024.25,percentile,10.75,,,9938609,9928304,275,162,159,3,113,274,0.5890909090909091,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(86, 169, 219)","(111, 137, 246)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
737,0.730758331444117,31872,region_growing,,,,,normal,,,-45.0,686.75,percentile,10.75,,,8734725,8670716,275,81,78,3,194,274,0.29454545454545455,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2269605245916635,"(95, 176, 215)","(107, 131, 240)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
510,0.6970572532269715,33721,region_growing,,,,,normal,,,-107.0,535.75,percentile,10.75,,,10869216,10842056,275,119,118,1,156,274,0.43272727272727274,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.1377451873456221,"(86, 155, 179)","(114, 118, 222)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
2,0.7219718490356479,23725,region_growing,,,,,normal,,,-126.25,914.5,percentile,10.75,,,11815016,11809451,275,81,81,0,194,274,0.29454545454545455,yes,both tolerable,yes,no,,,no,yes,no,no,2.6759950872584297,0.8948979188467532,"(87, 155, 222)","(105, 122, 258)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
420,0.7343277761528713,23668,region_growing,,,,,normal,,,-94.75,1618.75,percentile,10.75,,,12292702,12277421,275,144,139,5,131,274,0.5236363636363637,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(97, 159, 187)","(124, 112, 208)",,both ostia correct,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
881,0.688125,25641,region_growing,,,,,normal,,,-98.5,844.75,percentile,10.75,,,11482141,11471700,275,99,98,1,176,274,0.36,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(106, 167, 185)","(123, 132, 227)",,both ostia correct,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
11,0.3740544529664479,20489,region_growing,,,,,normal,,,-108.0,775.75,percentile,10.75,,,11018861,11011370,275,216,216,0,59,274,0.7854545454545454,yes,found but incorrect,yes,yes,,,no,no,no,yes,26.324949096746398,0.0,"(110, 186, 112)","(96, 144, 172)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
906,0.5093449546230568,14803,region_growing,,,,,normal,,,-107.5,928.75,percentile,10.75,,,9951556,9943195,275,165,164,1,110,274,0.6,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,19.167405531642856,"(95, 157, 124)","(153, 61, 134)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,2,yes,yes
