IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,fuzzy_dense_membership_threshold,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.67185191265802,24543,region_growing,,,,,normal,,,-110.0,946.75,percentile,10.75,,,10226202,9863646,275,129,128,1,146,274,0.4690909090909091,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
380,0.563270899954317,38948,region_growing,,,,,normal,,,-129.0,877.0,percentile,10.75,,,7196162,7066127,206,105,104,1,101,205,0.5097087378640777,yes,both tolerable,yes,no,,,no,yes,no,no,1.029961908617559,2.193358505398314,"(92, 122, 120)","(112, 90, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
854,0.6444734876773712,29184,region_growing,,,,,normal,,,-114.5,793.25,percentile,10.75,,,9861887,9606832,275,138,137,1,137,274,0.5018181818181818,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(100, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
937,0.6912923675742336,27874,region_growing,,,,,normal,,,-106.75,847.5,percentile,10.75,,,10839652,10544051,275,86,85,1,189,274,0.3127272727272727,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
315,0.6466133855651353,27966,region_growing,,,,,normal,,,-106.5,799.0,percentile,10.75,,,11560978,11353669,275,275,267,8,0,274,1.0,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,2.422643527256177,"(98, 179, 147)","(111, 144, 214)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
428,0.6306882912405115,34079,region_growing,,,,,normal,,,-123.0,815.75,percentile,10.75,,,11531265,11265184,275,172,172,0,103,274,0.6254545454545455,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
752,0.0,9960,region_growing,,,,,normal,,,-93.5,863.75,percentile,10.75,,,8020279,7318019,275,222,216,6,53,274,0.8072727272727273,yes,found but incorrect,yes,yes,,,no,no,no,no,11.076229562812657,20.878159335330437,"(183, 193, 56)","(148, 152, 86)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
13,0.572926728301366,25362,region_growing,,,,,normal,,,-113.5,994.0,percentile,10.75,,,11282606,11107660,241,66,66,0,175,240,0.2738589211618257,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
538,0.7438624516562973,22862,region_growing,,,,,normal,,,-98.25,637.0504760742188,percentile,10.75,,,11364006,10851844,275,223,222,1,52,274,0.8109090909090909,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
965,0.4677593013518363,22491,region_growing,,,,,normal,,,-116.25,703.75,percentile,10.75,,,11449746,11319418,275,120,117,3,155,274,0.4363636363636363,yes,found but incorrect,yes,yes,,,no,no,no,no,1.2026683386588757,26.803822213518472,"(107, 153, 173)","(117, 75, 203)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
447,0.4645779894955417,11841,region_growing,,,,,normal,,,-122.5,900.5,percentile,10.75,,,10724330,10568264,245,95,95,0,150,244,0.3877551020408163,yes,found but incorrect,yes,yes,,,no,no,no,no,0.6953125,7.205497169045659,"(119, 184, 169)","(136, 143, 178)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
836,0.7473969529862604,26307,region_growing,,,,,normal,,,-100.5,843.25,percentile,10.75,,,9981757,9512704,275,130,128,2,145,274,0.4727272727272727,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
603,0.324404666773214,31609,region_growing,,,,,normal,,,-121.75,865.25,percentile,10.75,,,7865303,7650525,206,153,148,5,53,205,0.7427184466019418,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,13.722229257874394,"(82, 172, 169)","(130, 73, 144)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
676,0.498398857980632,8640,region_growing,,,,,normal,,,-113.0,931.25,percentile,10.75,,,11951957,11740127,275,144,144,0,131,274,0.5236363636363637,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,2,yes,yes
