IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.6725147400209545,24492,region_growing,,,,,normal,-103.5,percentile,12.5,,,10024554,9551527,275,120,120,0,155,274,0.4363636363636363,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
380,0.5668567721707165,38516,region_growing,,,,,normal,-121.0,percentile,12.5,,,7064463,6925272,206,77,77,0,129,205,0.3737864077669903,yes,both tolerable,yes,no,,,no,yes,no,no,2.504064688825013,1.739843048383334,"(93, 121, 123)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
854,0.6405591798695247,29274,region_growing,,,,,normal,-108.0,percentile,12.5,,,9680927,9305275,275,132,132,0,143,274,0.48,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(100, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
937,0.664269900270144,25210,region_growing,,,,,normal,-100.5,percentile,12.5,,,10628512,10275656,275,82,82,0,193,274,0.2981818181818181,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
315,0.646440624617483,27972,region_growing,,,,,normal,-100.0,percentile,12.5,,,11335857,11078463,275,134,134,0,141,274,0.4872727272727272,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.3908992882585445,"(100, 179, 144)","(113, 144, 215)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
428,0.6292108876711625,33881,region_growing,,,,,normal,-115.0,percentile,12.5,,,11300487,10854517,275,172,172,0,103,274,0.6254545454545455,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
752,0.585232109493328,56234,region_growing,,,,,normal,-80.75,percentile,12.5,,,7878083,7135884,275,83,83,0,192,274,0.3018181818181818,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(94, 176, 209)","(117, 132, 234)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
13,0.5730154897022803,25360,region_growing,,,,,normal,-108.0,percentile,12.5,,,11061368,10855223,241,66,66,0,175,240,0.2738589211618257,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
538,0.744041363655471,22864,region_growing,,,,,normal,-92.5,percentile,12.5,,,11120266,10484967,275,107,107,0,168,274,0.3890909090909091,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
965,0.6575542367934624,34011,region_growing,,,,,normal,-111.75,percentile,12.5,,,11217281,11052572,275,91,91,0,184,274,0.3309090909090909,yes,both tolerable,yes,no,,,no,yes,no,no,1.546875,1.4820293967437017,"(109, 154, 182)","(106, 121, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
447,0.4645736623503542,11837,region_growing,,,,,normal,-117.5,percentile,12.5,,,10518825,10317304,245,95,95,0,150,244,0.3877551020408163,yes,found but incorrect,yes,yes,,,no,no,no,no,0.6953125,7.205497169045659,"(119, 184, 169)","(136, 143, 178)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
836,0.7468496428972068,26298,region_growing,,,,,normal,-93.5,percentile,12.5,,,9778985,9294703,275,120,120,0,155,274,0.4363636363636363,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
603,0.4340926542103916,15923,region_growing,,,,,normal,-111.0,percentile,12.5,,,7721198,7474713,206,69,69,0,137,205,0.3349514563106796,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,27.84537235076125,"(82, 172, 169)","(103, 140, 129)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
676,0.4985142592521128,8634,region_growing,,,,,normal,-107.0,percentile,12.5,,,11703405,11422999,275,144,144,0,131,274,0.5236363636363637,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
44,0.3944651758232778,102821,region_growing,,,,,normal,-135.0,percentile,12.5,,,7128015,6449155,206,90,90,0,116,205,0.4368932038834951,yes,both tolerable,yes,no,,,no,yes,no,yes,0.58984375,0.0,"(97, 131, 150)","(110, 91, 177)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
129,0.7043158710017633,27346,region_growing,,,,,normal,-100.5,percentile,12.5,,,10571556,10346846,275,125,125,0,150,274,0.4545454545454545,yes,both tolerable,yes,no,,,no,yes,no,no,0.74609375,0.5,"(95, 159, 167)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
518,0.695460915602616,29369,region_growing,,,,,normal,-102.0,percentile,12.5,,,9937256,9393214,243,93,93,0,150,242,0.382716049382716,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.69140625,"(108, 162, 163)","(126, 127, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
793,0.7195961995249406,18758,region_growing,,,,,normal,-101.0,percentile,12.5,,,8389847,8211470,206,58,58,0,148,205,0.2815533980582524,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
550,0.541324311261479,11522,region_growing,,,,,normal,-110.5,percentile,12.5,,,11273765,11131087,275,98,98,0,177,274,0.3563636363636364,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.6331862610496235,"(97, 158, 200)","(113, 127, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
631,0.729084008970157,24388,region_growing,,,,,normal,-107.5,percentile,12.5,,,9880367,9003215,275,133,133,0,142,274,0.4836363636363636,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.113000238656758,"(94, 132, 153)","(123, 95, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
330,0.6575786342636541,45745,region_growing,,,,,normal,-107.5,percentile,12.5,,,9417713,9067697,275,96,96,0,179,274,0.3490909090909091,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.974511812933532,"(105, 141, 195)","(119, 113, 222)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
