IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.6712738905750144,24579,region_growing,,,,,normal,-115.0,850.25,percentile,9.5,,,10339708,9998293,275,120,120,0,155,274,0.4363636363636363,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
380,0.5562299557369662,39980,region_growing,,,,,normal,-135.0,822.0,percentile,9.5,,,7264429,7139289,206,77,77,0,129,205,0.3737864077669903,yes,both tolerable,yes,no,,,no,yes,no,no,2.504064688825013,1.739843048383334,"(93, 121, 123)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
854,0.6437286118137182,29392,region_growing,,,,,normal,-120.0,720.25,percentile,9.5,,,9965287,9756194,275,132,132,0,143,274,0.48,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
937,0.69195093905711,28157,region_growing,,,,,normal,-111.5,769.75,percentile,9.5,,,10955254,10690456,275,82,82,0,193,274,0.2981818181818181,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
315,0.6462741811579021,28061,region_growing,,,,,normal,-111.0,765.0,percentile,9.5,,,11681028,11500439,275,134,134,0,141,274,0.4872727272727272,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2113217636280884,"(100, 179, 144)","(115, 147, 216)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
428,0.6280727347179035,34105,region_growing,,,,,normal,-129.25,750.75,percentile,9.5,,,11662756,11508607,275,172,172,0,103,274,0.6254545454545455,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
752,0.6592333608797915,44436,region_growing,,,,,normal,-103.25,846.75,percentile,9.5,,,8091298,7381195,275,83,83,0,192,274,0.3018181818181818,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(94, 176, 209)","(117, 132, 234)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
13,0.5725513176263767,25407,region_growing,,,,,normal,-118.0,927.0,percentile,9.5,,,11421476,11263894,241,66,66,0,175,240,0.2738589211618257,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
538,0.7274027752232645,24219,region_growing,,,,,normal,-102.25,579.25,percentile,9.5,,,11497872,11061260,275,107,107,0,168,274,0.3890909090909091,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
965,0.6570693754751468,34160,region_growing,,,,,normal,-120.0,647.75,percentile,9.5,,,11593162,11479006,275,91,91,0,184,274,0.3309090909090909,yes,both tolerable,yes,no,,,no,yes,no,no,1.546875,1.4820293967437017,"(109, 154, 182)","(106, 121, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.7,percentile,yes,per_slice,rg,5,no,yes
