IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
28,0.6718650606365296,24548,region_growing,,,,,normal,-110.5,1008.25,percentile,10.6,,,10248771,9895687,275,120,120,0,155,274,0.4363636363636363,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
380,0.5665328846907475,38523,region_growing,,,,,normal,-129.75,944.75,percentile,10.6,,,7213389,7083619,206,77,77,0,129,205,0.3737864077669903,yes,both tolerable,yes,no,,,no,yes,no,no,2.3495403733114086,1.739843048383334,"(93, 120, 120)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
854,0.6442895482331892,29280,region_growing,,,,,normal,-115.25,856.0,percentile,10.6,,,9888300,9642693,275,132,132,0,143,274,0.48,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(100, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
937,0.6911087563818514,27882,region_growing,,,,,normal,-107.25,900.0,percentile,10.6,,,10863255,10569863,275,82,82,0,193,274,0.2981818181818181,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
315,0.6466370536182715,27967,region_growing,,,,,normal,-107.0,832.25,percentile,10.6,,,11585788,11380221,275,134,134,0,141,274,0.4872727272727272,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.3908992882585445,"(100, 179, 144)","(113, 144, 215)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
428,0.6319755600814664,34518,region_growing,,,,,normal,-123.75,858.5,percentile,10.6,,,11558892,11318958,275,172,172,0,103,274,0.6254545454545455,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
752,0.5477734472178456,26076,region_growing,,,,,normal,-94.75,877.75,percentile,10.6,,,8041079,7335582,275,99,99,0,176,274,0.36,yes,found but incorrect,yes,yes,,,no,no,no,no,14.23387813433725,1.345667690480501,"(95, 153, 184)","(115, 131, 232)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
13,0.5730923417196572,25258,region_growing,,,,,normal,-114.0,1038.75,percentile,10.6,,,11308448,11135409,241,66,66,0,175,240,0.2738589211618257,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
538,0.7438683508122991,22867,region_growing,,,,,normal,-98.75,677.25,percentile,10.6,,,11392369,10886099,275,107,107,0,168,274,0.3890909090909091,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
965,0.6594635116195691,33699,region_growing,,,,,normal,-116.75,742.5,percentile,10.6,,,11481232,11354362,275,91,91,0,184,274,0.3309090909090909,yes,both tolerable,yes,no,,,no,yes,no,no,1.546875,1.4820293967437017,"(109, 154, 182)","(106, 121, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
447,0.4645496183206107,11843,region_growing,,,,,normal,-123.0,948.5,percentile,10.6,,,10750440,10596699,245,95,95,0,150,244,0.3877551020408163,yes,found but incorrect,yes,yes,,,no,no,no,no,0.6953125,7.205497169045659,"(119, 184, 169)","(136, 143, 178)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
836,0.7473969529862604,26307,region_growing,,,,,normal,-101.0,885.75,percentile,10.6,,,10003567,9533413,275,115,115,0,160,274,0.4181818181818181,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
603,0.4493526612813986,14224,region_growing,,,,,normal,-122.75,925.5,percentile,10.6,,,7883799,7671015,206,68,68,0,138,205,0.3300970873786408,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,7.171684578422479,"(82, 171, 170)","(134, 94, 160)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
676,0.4985305491105955,8581,region_growing,,,,,normal,-113.5,968.75,percentile,10.6,,,11979286,11771879,275,144,144,0,131,274,0.5236363636363637,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
44,0.0,17072,region_growing,,,,,normal,-141.75,1039.75,percentile,10.6,,,7278015,6662650,206,93,93,0,113,205,0.4514563106796116,yes,found but incorrect,yes,yes,,,no,no,no,no,17.29545641201758,inf,"(155, 94, 113)",,,no ostium correct,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
129,0.720987733607347,28947,region_growing,,,,,normal,-108.0,983.0,percentile,10.6,,,10817945,10629862,275,125,125,0,150,274,0.4545454545454545,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
518,0.7173505015237441,27542,region_growing,,,,,normal,-108.5,594.75,percentile,10.6,,,10181045,9837813,243,93,93,0,150,242,0.382716049382716,yes,both tolerable,yes,no,,,no,yes,no,no,0.69140625,0.8532541254157887,"(108, 160, 161)","(125, 127, 194)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
793,0.7254955363897715,18123,region_growing,,,,,normal,-106.25,748.25,percentile,10.6,,,8597800,8452868,206,58,58,0,148,205,0.2815533980582524,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
