IMG_ID,artery_dice,artery_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
28,0.6106192963906565,159173,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(207, 295, 187)","(262, 231, 217)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7
380,0.4686397899665733,226658,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,14.186351847298573,"(315, 260, 148)","(282, 58, 139)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
854,0.5196552875491858,138775,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(335, 310, 165)","(244, 227, 184)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7
937,0.0956993029065101,124432,yes,found but incorrect,yes,yes,,,no,no,no,no,0.4916601837937713,53.762674797818754,"(212, 344, 213)","(160, 131, 185)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7
315,0.2472411182190531,49994,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,18.31565293389836,"(184, 373, 151)","(388, 284, 110)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
428,0.0715859899748055,11673,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,inf,"(198, 278, 34)",,,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
752,0.360891556601943,93995,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,9.585031729313844,"(79, 308, 70)","(286, 216, 150)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
13,0.2502642895349767,105800,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,60.492729443725366,"(227, 352, 171)","(105, 206, 194)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
538,0.2799746088644935,34521,yes,found but incorrect,yes,yes,,,no,no,no,yes,52.82386652050402,0.0,"(396, 375, 19)","(200, 264, 90)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
965,0.3823382904122839,94434,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,57.96291678556246,"(376, 358, 116)","(92, 169, 145)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
447,0.4273030849146613,67147,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,35.92501247886276,"(240, 373, 174)","(257, 165, 191)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
836,0.4723690778147887,86895,yes,found but incorrect,yes,yes,,,no,no,no,no,1.0067407394676675,27.9634382094792,"(208, 278, 174)","(217, 135, 237)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7
603,0.4422883027690509,80668,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,inf,"(193, 277, 41)",,,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
676,0.2526306892617166,25258,yes,found but incorrect,yes,yes,,,no,no,no,yes,35.413424809502416,0.0,"(99, 382, 208)","(201, 323, 187)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
44,0.0871385430245226,1327507,yes,found but incorrect,yes,yes,,,no,no,no,no,1.719675265862579,39.72923768225039,"(202, 260, 150)","(103, 121, 143)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7
129,0.461689400029978,85797,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,68.33146266082467,"(187, 276, 75)","(427, 120, 6)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
518,0.0,103123,yes,found but incorrect,yes,yes,,,no,no,no,no,21.222109544109824,13.578538684227851,"(59, 319, 122)","(228, 230, 175)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7
793,0.3428755671218995,26941,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,14.673547748926946,"(136, 300, 73)","(262, 104, 53)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
550,0.3380411832919837,145826,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,62.00875312790557,"(195, 317, 200)","(74, 138, 180)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
631,0.468129976850449,76910,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(120, 278, 162)","(265, 187, 82)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.7
330,0.1847681286459121,414901,yes,found but incorrect,yes,yes,,,no,no,no,yes,10.912180689873464,0.0,"(296, 277, 159)","(171, 213, 98)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
90,0.0591366472127188,44511,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,47.19909141603541,"(248, 297, 62)","(46, 214, 13)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
608,0.3384551633794721,60384,yes,found but incorrect,yes,yes,,,no,no,no,no,2.295722101174337,8.360591507569623,"(188, 251, 141)","(228, 52, 136)",,no ostium correct,opencv,linear,"[1, 1, 1]",99.7
887,0.5153687461344646,108448,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,27.216073851739164,"(210, 339, 185)","(253, 128, 186)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.7
