IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_recovered_initialization,aorta_mask_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_ostia_method,aorta_miss_count,aorta_interpolate_missed_circles
28,0.5985538562560606,0.3422978017420157,0.5985538562560606,0.2562560545140449,164804,23416,164804,region_growing,,,,,normal,,-300.0,1097.0,fixed,,44691979,43281919,275,110,110,0,165,274,0.4,no,674752,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(207, 295, 187)","(262, 231, 217)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
380,0.5397460190501582,0.2376883697454755,0.5397460190501582,0.3020576493046826,172256,23621,172256,region_growing,,,,,normal,,-300.0,1060.0,fixed,,31241428,30693638,206,96,96,0,110,205,0.4660194174757281,no,917721,yes,both tolerable,yes,no,,,no,yes,no,yes,6.309601373187167,0.0,"(156, 239, 135)","(228, 179, 171)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
854,0.5616104799615143,0.3046597362914743,0.5616104799615143,0.2569507436700399,172402,22608,172402,region_growing,,,,,normal,,-300.0,966.0,fixed,,42918311,41917182,275,140,140,0,135,274,0.509090909090909,no,987568,yes,both tolerable,yes,no,,,no,yes,no,yes,2.156083694900099,0.0,"(197, 299, 156)","(244, 227, 184)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
937,0.5865671586865241,0.3341194837981033,0.5865671586865241,0.2524476748884208,174391,23072,174391,region_growing,,,,,normal,,-300.0,981.0,fixed,,47492358,46294496,275,86,86,0,189,274,0.3127272727272727,no,480575,yes,both tolerable,yes,no,,,no,yes,no,no,0.4916601837937713,0.6953125,"(212, 344, 213)","(232, 255, 228)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
315,0.5392106673733279,0.2860084010390759,0.5392106673733279,0.253202266334252,214341,27007,214341,region_growing,,,,,normal,,-300.0,906.0,fixed,,50514206,49872769,275,135,135,0,140,274,0.4909090909090909,no,2273755,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,12.548309966199133,"(318, 367, 186)","(211, 264, 200)",,one ostium correct,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
428,0.5874278047281737,0.2746641830454445,0.5874278047281737,0.3127636216827292,176319,29850,176319,region_growing,,,,,normal,,-300.0,929.0,fixed,,50638411,50038983,275,175,175,0,100,274,0.6363636363636364,no,2139772,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(193, 335, 103)","(202, 240, 177)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
752,0.6270901285826734,0.3368109199692167,0.6270901285826734,0.2902792086134567,259729,34907,259729,region_growing,,,,,normal,,-300.0,909.0,fixed,,34636974,31664130,275,87,87,0,188,274,0.3163636363636363,no,768095,yes,both tolerable,yes,no,,,no,yes,no,yes,0.8095744354916121,0.0,"(194, 351, 210)","(233, 260, 233)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
13,0.5053155086728607,0.2440515456510806,0.5053155086728607,0.26126396302178,147460,21478,147460,region_growing,,,,,normal,,-300.0,1109.0,fixed,,49493898,48693968,241,92,92,0,149,240,0.3817427385892116,no,632232,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(227, 352, 171)","(267, 289, 203)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
538,0.3419601489440323,0.1473993000436312,0.3419601489440323,0.1945608489004011,41340,8337,41340,region_growing,,,,,normal,,-300.0,742.0,fixed,,50147591,48454736,275,108,108,0,167,274,0.3927272727272727,no,946990,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,5.954822848845532,"(202, 353, 203)","(269, 260, 202)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
965,0.5670345370908193,0.3391564064548013,0.5670345370908193,0.2278781306360179,187221,27276,187221,region_growing,,,,,normal,,-300.0,812.0,fixed,,50555295,49997342,275,91,91,0,184,274,0.3309090909090909,no,616567,yes,both tolerable,yes,no,,,no,yes,no,no,0.38671875,0.38671875,"(218, 312, 181)","(212, 239, 199)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
447,0.5373822896459078,0.31401818690273,0.5373822896459078,0.2233641027431778,142516,19920,142516,region_growing,,,,,normal,,-300.0,1027.0,fixed,,46881108,46158035,245,96,96,0,149,244,0.3918367346938775,no,667985,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(240, 373, 174)","(241, 278, 194)",,both ostia correct,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
836,0.7040651466742014,0.3862229612429221,0.7040651466742014,0.3178421854312793,166611,27074,166611,region_growing,,,,,normal,,-300.0,953.0,fixed,,43640316,41445959,275,119,119,0,156,274,0.4327272727272727,no,868498,yes,both tolerable,yes,no,,,no,yes,no,yes,1.0067407394676675,0.0,"(208, 278, 174)","(256, 208, 209)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
603,0.6607314915850808,0.3835619901038276,0.6607314915850808,0.2771695014812532,204362,33606,204362,region_growing,,,,,normal,,-300.0,1017.0,fixed,,34150923,33179183,206,68,68,0,138,205,0.3300970873786408,no,569913,yes,both tolerable,yes,no,,,no,yes,no,yes,0.318359375,0.0,"(162, 336, 167)","(237, 240, 189)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
676,0.5298526955682025,0.2031593424249045,0.5298526955682025,0.3266933531432979,56943,8407,56943,region_growing,,,,,normal,,-300.0,1026.0,fixed,,52661432,52005452,275,147,147,0,128,274,0.5345454545454545,no,939333,yes,both tolerable,yes,no,,,no,yes,no,yes,2.0991950899415626,0.0,"(162, 372, 138)","(201, 323, 187)",,both ostia tolerable,opencv,linear,"[1, 1, 1]",99.9,fixed,yes,per_slice,region_growing,standard,5,yes
