IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_left_raw_voxels,artery_right_raw_voxels,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,effective_upper_threshold_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_synthetic_tail_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_detected_tail_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_initial_voxel_count,aorta_level_set_raw_voxel_count,aorta_level_set_initial_volume_fraction,aorta_level_set_raw_volume_fraction,aorta_level_set_iterations_used,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_slice_area_jump_p95,aorta_segmentation_feedback,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status
28,0.6106192963906565,0.3401546688468244,0.6106192963906565,0.270464627543832,159173,22735,159173,,,,,,,858.0,44548201,43162495,275,,110,110,0,165,274,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673168,,,,,,,,,,,,,yes,both_correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(207, 295, 187)","(262, 231, 217)",,both_correct
380,0.4726166107153579,0.238287168387493,0.4726166107153579,0.2343294423278648,223583,28138,223583,,,,,,,828.0,31134560,30588105,206,,96,96,0,110,205,0.4660194174757281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961559,,,,,,,,,,,,,yes,found_but_wrong,yes,yes,,,no,no,no,yes,18.7881181951504,0.0,"(139, 256, 163)","(229, 179, 171)",,one_correct
854,0.5591618643880683,0.3064338341938852,0.5591618643880683,0.252728030194183,173918,22831,173918,,,,,,,727.0,42774957,41782616,275,,137,137,0,138,274,0.4981818181818181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987781,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,yes,2.156083694900099,0.0,"(197, 299, 156)","(244, 227, 184)",,both_tolerable
937,0.5843069706076376,0.3346470085540999,0.5843069706076376,0.2496599620535377,175514,23181,175514,,,,,,,778.0,47348632,46159589,275,,86,86,0,189,274,0.3127272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480567,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,no,0.4916601837937713,0.6953125,"(212, 344, 213)","(232, 255, 228)",,both_tolerable
315,0.5391784022715433,0.285866379071954,0.5391784022715433,0.2533120231995893,214372,26911,214372,,,,,,,771.0,50372253,49735523,275,,135,135,0,140,274,0.4909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272822,,,,,,,,,,,,,yes,found_but_wrong,yes,yes,,,no,no,yes,no,0.0,12.548309966199133,"(318, 367, 186)","(211, 264, 200)",,one_correct
428,0.5827728976668718,0.2665477854354426,0.5827728976668718,0.3162251122314291,179012,29042,179012,,,,,,,763.0,50495171,49896629,275,,175,175,0,100,274,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138918,,,,,,,,,,,,,yes,both_correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(193, 335, 103)","(203, 240, 176)",,both_correct
752,0.6213495917126135,0.3353386152574794,0.6213495917126135,0.2860109764551341,263274,35129,263274,,,,,,,851.0,34496681,31554093,275,,81,81,0,194,274,0.2945454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736582,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,yes,0.8095744354916121,0.0,"(194, 351, 210)","(233, 260, 233)",,both_tolerable
13,0.4692956960494803,0.21984902957057,0.4692956960494803,0.2494466664789102,126413,19129,126413,,,,,,,939.0,49367989,48567989,241,,92,92,0,149,240,0.3817427385892116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624072,,,,,,,,,,,,,yes,both_correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(227, 352, 171)","(267, 289, 203)",,both_correct
538,0.3419601489440323,0.1473821017452655,0.3419601489440323,0.1945780471987668,41340,8336,41340,,,,,,,586.0,50003166,48323725,275,,108,108,0,167,274,0.3927272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946983,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,yes,no,0.0,5.954822848845532,"(202, 353, 203)","(269, 260, 202)",,both_tolerable
965,0.5710935538849767,0.3351090561865514,0.5710935538849767,0.2359844976984253,190415,26945,190415,,,,,,,660.0,50412361,49856935,275,,91,91,0,184,274,0.3309090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616524,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,no,0.38671875,0.38671875,"(218, 312, 181)","(212, 239, 199)",,both_tolerable
