IMG_ID,artery_dice,artery_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
603,0.4364136390004942,15582,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,27.84537235076125,"(81, 171, 169)","(103, 140, 129)",,one ostium correct,scipy,N/A,"(2, 2, 1)",99.7
676,0.5001936933446967,8535,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
44,0.3609944872403344,120315,yes,both tolerable,yes,no,,,no,yes,no,yes,0.58984375,0.0,"(97, 131, 150)","(110, 91, 177)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
129,0.7165423707479782,30221,yes,both tolerable,yes,no,,,no,yes,no,no,1.4921875,0.5,"(97, 158, 167)","(109, 118, 201)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
518,0.6991685415240145,29108,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8532541254157887,"(108, 162, 163)","(126, 128, 193)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
793,0.7032092353721527,20507,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
550,0.5430394672955539,11390,yes,both tolerable,yes,no,,,no,yes,no,no,0.6953125,1.6331862610496237,"(97, 157, 200)","(113, 127, 211)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
631,0.7278096452092628,25082,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.113000238656758,"(95, 132, 153)","(123, 95, 199)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
330,0.6172518321506139,52841,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.9745118129335317,"(104, 141, 195)","(119, 113, 222)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
90,0.6946323618414859,36045,yes,both tolerable,yes,no,,,no,yes,no,no,1.3203125,0.5,"(88, 156, 157)","(113, 120, 186)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
608,0.6697490323823535,34972,yes,both tolerable,yes,no,,,no,yes,no,yes,1.3680800657879093,0.0,"(92, 126, 142)","(97, 81, 174)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
887,0.5510871109847947,16564,yes,both tolerable,yes,no,,,no,yes,no,yes,0.7890625,0.0,"(106, 164, 190)","(128, 128, 208)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
