IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_recovered_initialization,aorta_mask_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_ostia_method,aorta_miss_count,aorta_interpolate_missed_circles
28,0.6673056529896403,0.3665257037134928,0.6673056529896403,0.3007799492761475,24851,6083,24851,region_growing,,,,,normal,,-486.75,1085.75,percentile,10.75,11591183,11137893,275,120,120,0,155,274,0.4363636363636363,no,194586,yes,both tolerable,yes,no,,,no,yes,no,no,0.671875,0.671875,"(103, 145, 182)","(128, 114, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
380,0.5592299777277049,0.2981550796217138,0.5592299777277049,0.2610748981059911,41299,9673,41299,region_growing,,,,,normal,,-259.75,1052.25,percentile,10.75,7763027,7628712,206,77,77,0,129,205,0.3737864077669903,no,208455,yes,both tolerable,yes,no,,,no,yes,no,no,2.248134263342745,3.4990407446631,"(93, 121, 122)","(113, 95, 164)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
854,0.6225757090495,0.3544778491069726,0.6225757090495,0.2680978599425274,31826,7090,31826,region_growing,,,,,normal,,-539.75,953.25,percentile,10.75,11263844,10823266,275,138,138,0,137,274,0.5018181818181818,no,255963,yes,both tolerable,yes,no,,,no,yes,no,yes,1.2734375,0.0,"(99, 151, 157)","(123, 115, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
937,0.677582948144544,0.3741960887255545,0.677582948144544,0.3033868594189894,29414,6453,29414,region_growing,,,,,normal,,-472.25,969.75,percentile,10.75,12194965,11777182,275,82,82,0,193,274,0.2981818181818181,no,128390,yes,both tolerable,yes,no,,,no,yes,no,no,0.8564224849081498,3.2663725220992474,"(106, 171, 211)","(114, 129, 224)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
315,0.6454147568666644,0.3276588572391707,0.6454147568666644,0.3177558996274936,28819,6383,28819,region_growing,,,,,normal,,-386.0,893.25,percentile,10.75,12774269,12578095,275,149,149,0,126,274,0.5418181818181819,no,505480,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.3908992882585445,"(99, 182, 142)","(113, 144, 215)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
428,0.6302607371693205,0.3327548564070984,0.6302607371693205,0.297505880762222,34773,9547,34773,region_growing,,,,,normal,,-202.25,916.5,percentile,10.75,12452328,12324716,275,172,172,0,103,274,0.6254545454545455,no,520162,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8595969173697416,"(95, 167, 105)","(95, 120, 168)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
752,0.5875142185066979,0.3587601021290962,0.5875142185066979,0.2287541163776016,56332,13172,56332,region_growing,,,,,normal,,-361.5,903.0,percentile,10.75,8744770,7988479,275,110,110,0,165,274,0.4,no,268978,yes,both tolerable,yes,no,,,no,yes,no,no,0.63671875,0.8095744354916121,"(93, 175, 208)","(116, 131, 233)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
13,0.5717081353089181,0.2779876817970084,0.5717081353089181,0.2937204535119096,24618,6028,24618,region_growing,,,,,normal,,-411.25,1095.5,percentile,10.75,12600128,12367545,241,66,66,0,175,240,0.2738589211618257,no,119381,yes,both tolerable,yes,no,,,no,yes,no,no,0.6953125,1.1031404921008474,"(111, 173, 167)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
538,0.5052235520153705,0.2676596418951038,0.5052235520153705,0.2375639101202667,25252,6841,25252,region_growing,,,,,normal,,-459.25,733.75,percentile,10.75,12882535,12349617,275,107,107,0,168,274,0.3890909090909091,no,221135,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
965,0.5958701220646527,0.3678277323241745,0.5958701220646527,0.2280423897404782,42218,9860,42218,region_growing,,,,,normal,,-453.75,797.25,percentile,10.75,12929948,12715496,275,92,92,0,183,274,0.3345454545454545,no,154659,yes,both tolerable,yes,no,,,no,yes,no,no,0.7734375,0.7734375,"(109, 155, 182)","(106, 120, 198)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,percentile,yes,per_slice,region_growing,bilateral_thin,5,yes
