IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_recovered_initialization,aorta_circle_filter_method,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_interpolated_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_circle_filter_fallback_enabled,aorta_circle_filter_accepted,aorta_circle_filter_rejected,aorta_circle_filter_rejection_reason,aorta_circle_filter_candidate_controller_state,aorta_circle_filter_fallback_controller_state,aorta_circle_filter_candidate_mask_voxel_count,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_mode,aorta_level_set_iterations_used,aorta_level_set_stop_reason,aorta_level_set_checkpoint_count,aorta_level_set_rolled_back,aorta_level_set_mask_change_fraction,aorta_level_set_voxels_per_segmented_slice,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_level_set_leak_suspected,aorta_level_set_localization_suspected,aorta_level_set_leak_signal_count,aorta_level_set_trigger_iteration,aorta_level_set_trigger_volume_fraction,aorta_level_set_trigger_relative_growth,aorta_level_set_trigger_mask_change_fraction,aorta_level_set_trigger_circle_fill_q25,aorta_level_set_trigger_circle_area_ratio_p90,aorta_level_set_correction_applied,aorta_level_set_correction_method,aorta_level_set_refinement_applied,aorta_level_set_refinement_accepted,aorta_level_set_refinement_iterations,aorta_level_set_refinement_balloon,aorta_level_set_refinement_smoothing,aorta_level_set_refinement_transition_mode,aorta_level_set_refinement_anomaly_margin_slices,aorta_level_set_refinement_volume_loss_fraction,aorta_level_set_slice_area_jump_p95_before,aorta_level_set_slice_area_jump_p95_after,aorta_level_set_refinement_rejection_reason,aorta_level_set_controller_state,aorta_level_set_profile_used,aorta_level_set_rollback_iteration,aorta_level_set_circle_confidence_signal_count,aorta_level_set_alternative_attempted,aorta_level_set_alternative_accepted,aorta_level_set_conservative_attempted,aorta_level_set_conservative_accepted,aorta_level_set_permissive_attempted,aorta_level_set_permissive_accepted,aorta_level_set_nominal_volume_fraction,aorta_level_set_nominal_circle_fill_q25,aorta_level_set_nominal_circle_area_ratio_p90,aorta_level_set_final_volume_fraction,aorta_level_set_decision_reason,ostia_surface_mode,ostia_surface_thickness_mm,ostia_candidate_score_mode,ostia_pair_selection_mode,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_interpolate_missed_circles
28,0.6709658928059616,0.3671066124177169,0.6709658928059616,0.3038592803882447,24661,6046,24661,region_growing,,,,,normal,,-300.0,1085.75,fixed,,11168529,10815776,275,18022400,120,120,0,155,274,0.4363636363636363,18.0,27.666666666666668,20.98887686387686,20.571428571428573,1.6181851129350713,19.39333333333333,23.5,12.09375,18.588541666666668,14.101901642917268,13.821428571428571,1.087218122753251,13.029895833333333,15.7890625,13.821428571428571,,15.453125,12.989583333333332,6.494791666666668,1.4781250000000017,0.4528602343926213,0.025,0.0,no,none,False,120,120,0,0,,0.4363636363636363,0.4363636363636363,disabled,False,False,False,,fixed,,175093,175093,120,1459.1083333333331,0.0097152987393465,fixed,31,fixed_complete,1,no,,,0.8414939062209266,1.3831543188683086,no,no,0,,,,,,,no,none,no,no,,,,,,,0.056041505598605,0.056041505598605,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0097152987393465,0.8414939062209266,1.3831543188683086,0.0097152987393465,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
380,0.5520222290830503,0.2980610151545232,0.5520222290830503,0.2539612139285271,42258,9855,42258,region_growing,,,,,normal,,-300.0,1052.25,fixed,,7807686,7670241,206,13500416,77,77,0,129,205,0.3737864077669903,18.5,29.0,25.576329622758195,26.5,3.0411843694847365,20.3,28.666666666666668,11.779296875,18.46484375,16.28492862699057,16.873046875,1.93637911025786,12.925390625,18.252604166666668,16.873046875,,11.779296875,17.064062500000002,3.18359375,1.3280133928571445,0.5218283661235539,0.0,0.0,no,none,False,77,77,0,0,,0.3737864077669903,0.3737864077669903,disabled,False,False,False,,fixed,,193913,193913,77,2518.3506493506493,0.0143634833178473,fixed,31,fixed_complete,1,no,,,0.9872701555869872,1.7111704507267038,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0293873802553105,0.0293873802553105,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0143634833178473,0.9872701555869872,1.7111704507267038,0.0143634833178473,fixed_complete,erosion,2.0,voxel,greedy,yes,found but incorrect,yes,yes,,,no,no,no,no,9.613174109266833,1.739843048383334,"(105, 122, 130)","(113, 89, 166)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
854,0.6313070183361936,0.3506543494996151,0.6313070183361936,0.2806526688365785,30979,6800,30979,region_growing,,,,,normal,,-300.0,953.25,fixed,,10723965,10472395,275,18022400,138,138,0,137,274,0.5018181818181818,18.0,26.125,22.72736369910283,23.13392857142857,2.023738597424238,19.85,25.25,11.4609375,16.63427734375,14.470938605288133,14.729806082589285,1.288552310078714,12.6388671875,16.0771484375,14.729806082589285,,13.37109375,14.64453125,2.228515625,0.8574479166666664,0.5034471690930958,0.0144927536231884,0.0,no,none,False,138,138,0,0,,0.5018181818181818,0.5018181818181818,disabled,False,False,False,,fixed,,249273,249273,138,1806.3260869565215,0.0138312877308238,fixed,31,fixed_complete,1,no,,,0.9671452036688812,1.4808770406684864,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0441550669068229,0.0441550669068229,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0138312877308238,0.9671452036688812,1.4808770406684864,0.0138312877308238,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
937,0.6849258025439128,0.3729897179013973,0.6849258025439128,0.3119360846425155,28809,6321,28809,region_growing,,,,,normal,,-300.0,969.75,fixed,,11867469,11567669,275,18022400,82,82,0,193,274,0.2981818181818181,18.0,27.0,21.02098863196424,20.9375,1.5170693040220695,19.05,22.96666666666667,12.515625,18.7734375,14.616156158162635,14.55810546875,1.0548372504528454,13.245703125,15.969010416666668,14.55810546875,,13.2109375,14.5146484375,4.751302083333332,1.622395833333332,0.4809928720550133,0.024390243902439,0.0,no,none,False,82,82,0,0,,0.2981818181818181,0.2981818181818181,disabled,False,False,False,,fixed,,117459,117459,82,1432.4268292682927,0.0065173894708806,fixed,31,fixed_complete,1,no,,,0.8860359767404593,1.2990102035906117,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0258107213765718,0.0258107213765718,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0065173894708806,0.8860359767404593,1.2990102035906117,0.0065173894708806,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
315,0.6464329441790685,0.327656943741921,0.6464329441790685,0.3187760004371475,28774,6371,28774,region_growing,,,,,normal,,-300.0,893.25,fixed,,12624120,12464696,275,18022400,134,134,0,141,274,0.4872727272727272,18.0,30.0,23.98137882018479,23.8,3.342128333366665,19.06,28.57,12.3046875,20.5078125,16.393520677860696,16.26953125,2.2846580403873684,13.029296875,19.5302734375,16.26953125,,19.140625,14.35546875,7.975260416666668,2.3857421875,0.3925715391389269,0.0223880597014925,0.0149253731343283,no,none,False,134,134,0,0,,0.4872727272727272,0.4872727272727272,disabled,False,False,False,,fixed,,386135,386135,134,2881.60447761194,0.0214252818714488,fixed,31,fixed_complete,1,no,,,0.994401427695977,2.130399025151987,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0768566643499792,0.0768566643499792,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0214252818714488,0.994401427695977,2.130399025151987,0.0214252818714488,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(100, 179, 144)","(115, 146, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
428,0.6272001624344868,0.3306075202568985,0.6272001624344868,0.2965926421775883,34759,9520,34759,region_growing,,,,,normal,,-300.0,916.5,fixed,,12653455,12504582,275,18022400,172,172,0,103,274,0.6254545454545455,18.0,30.0,23.970231173864896,24.33333333333333,3.505353130355552,19.0,28.5,12.5859375,20.9765625,16.760435078600842,17.014322916666664,2.451008634115796,13.28515625,19.927734375,17.014322916666664,,12.935546875,17.48046875,8.390625,3.729166666666664,0.3742197868173797,0.0465116279069767,0.0232558139534883,no,none,False,172,172,0,0,,0.6254545454545455,0.6254545454545455,disabled,False,False,False,,fixed,,527906,527906,172,3069.220930232558,0.0292916592684659,fixed,31,fixed_complete,1,no,,,0.995808860304201,2.663351992108496,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0469180485579058,0.0469180485579058,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0292916592684659,0.995808860304201,2.663351992108496,0.0292916592684659,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
752,0.5904304411159667,0.3542828073001675,0.5904304411159667,0.2361476338157991,55712,12958,55712,region_growing,,,,,normal,,-300.0,903.0,fixed,,8653631,7884489,275,18022400,112,112,0,163,274,0.4072727272727273,18.0,28.0,22.56234925788497,22.58571428571429,2.6951032416391216,19.0,25.88888888888889,11.4609375,17.828125,14.365870816543946,14.380747767857144,1.7160227671374093,12.09765625,16.48394097222222,14.380747767857144,,17.828125,16.873046875,4.138671875,1.2309895833333329,0.3974890614667762,0.0267857142857142,0.0,no,none,False,112,112,0,0,,0.4072727272727273,0.4072727272727273,disabled,False,False,False,,fixed,,265949,265949,112,2374.5446428571427,0.0147565806995738,fixed,31,fixed_complete,1,no,,,0.9483118024411517,2.4752426728920947,no,no,0,,,,,,,no,none,no,no,,,,,,,0.1046387880687797,0.1046387880687797,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0147565806995738,0.9483118024411517,2.4752426728920947,0.0147565806995738,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.5,"(94, 176, 209)","(117, 132, 234)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
13,0.5726432920428302,0.2777446841573645,0.5726432920428302,0.2948986078854657,24542,5997,24542,region_growing,,,,,normal,,-300.0,1095.5,fixed,,12370388,12169474,241,15794176,66,66,0,175,240,0.2738589211618257,18.0,23.875,21.451569264069267,22.2875,1.810725070784912,18.5,23.5,12.515625,16.6005859375,14.91554425392316,15.49677734375,1.2590197757801338,12.86328125,16.33984375,15.49677734375,,15.296875,15.605902777777777,1.6513671875,0.933153521825396,0.4553225437416613,0.0606060606060606,0.0,no,none,False,66,66,0,0,,0.2738589211618257,0.2738589211618257,disabled,False,False,False,,fixed,,105863,105863,66,1603.9848484848485,0.0067026605249935,fixed,31,fixed_complete,1,no,,,0.9212317562180808,1.5344179091380092,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0346597633017569,0.0346597633017569,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0067026605249935,0.9212317562180808,1.5344179091380092,0.0067026605249935,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,2.145025700057286,1.1031404921008474,"(115, 173, 175)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
538,0.5561581525542337,0.284821695636279,0.5561581525542337,0.2713364569179547,21014,5375,21014,region_growing,,,,,normal,,-300.0,733.75,fixed,,12531697,12105119,275,18022400,107,107,0,168,274,0.3890909090909091,18.0,26.428571428571427,22.981656349880645,23.88888888888889,2.1938106666539694,19.8,25.166666666666668,11.4609375,16.82756696428571,14.63285150402557,15.210503472222223,1.396840385408582,12.60703125,16.024088541666668,15.210503472222223,,11.4609375,15.645089285714286,2.0920758928571423,0.9095982142857116,0.4710590139608754,0.0186915887850467,0.0,no,none,False,107,107,0,0,,0.3890909090909091,0.3890909090909091,disabled,False,False,False,,fixed,,209088,209088,107,1954.0934579439247,0.0116015625,fixed,31,fixed_complete,1,no,,,0.9303568125141456,1.779969509966455,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0294689514840504,0.0294689514840504,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0116015625,0.9303568125141456,1.779969509966455,0.0116015625,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
965,0.6175983436853002,0.3721344193322186,0.6175983436853002,0.2454639243530816,39957,9415,39957,region_growing,,,,,normal,,-300.0,797.25,fixed,,12633842,12495820,275,18022400,92,92,0,183,274,0.3345454545454545,18.33333333333333,24.0,21.32371429898604,21.666666666666668,1.1521809861410426,19.5,22.49,14.179687499999998,18.5625,16.492560278122014,16.7578125,0.8911399814684627,15.08203125,17.394609375,16.7578125,,18.5625,17.4453125,3.8671875,0.7734375,0.4967327092486938,0.0,0.0,no,none,False,92,92,0,0,,0.3345454545454545,0.3345454545454545,disabled,False,False,False,,fixed,,141980,141980,92,1543.2608695652175,0.0078779740767045,fixed,31,fixed_complete,1,no,,,0.9539191487168917,1.3453690556754654,no,no,0,,,,,,,no,none,no,no,,,,,,,0.0163502511734953,0.0163502511734953,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.0078779740767045,0.9539191487168917,1.3453690556754654,0.0078779740767045,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.546875,1.4820293967437017,"(110, 154, 183)","(106, 121, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
