IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_recovered_initialization,aorta_mask_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_ostia_method,aorta_miss_count,aorta_interpolate_missed_circles
28,0.6673056529896403,0.3665257037134928,0.6673056529896403,0.3007799492761475,24851,6083,24851,region_growing,,,,,normal,,-486.75,946.75,percentile,10.75,11573143,11123016,275,120,120,0,155,274,0.4363636363636363,no,194586,yes,both tolerable,yes,no,,,no,yes,no,no,0.671875,0.671875,"(103, 145, 182)","(128, 114, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
380,0.5563931198839499,0.2980767102671359,0.5563931198839499,0.258316409616814,41730,9705,41730,region_growing,,,,,normal,,-259.75,877.0,percentile,10.75,7749547,7615382,206,77,77,0,129,205,0.3737864077669903,no,208643,yes,both tolerable,yes,no,,,no,yes,no,no,2.059923817235118,3.936151182667213,"(92, 121, 122)","(113, 95, 163)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
854,0.6225757090495,0.3544778491069726,0.6225757090495,0.2680978599425274,31826,7090,31826,region_growing,,,,,normal,,-539.75,793.25,percentile,10.75,11245828,10805757,275,138,138,0,137,274,0.5018181818181818,no,258506,yes,both tolerable,yes,no,,,no,yes,no,yes,1.2734375,0.0,"(99, 151, 157)","(123, 115, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
937,0.677582948144544,0.3741960887255545,0.677582948144544,0.3033868594189894,29414,6453,29414,region_growing,,,,,normal,,-472.25,847.5,percentile,10.75,12176976,11760383,275,82,82,0,193,274,0.2981818181818181,no,128390,yes,both tolerable,yes,no,,,no,yes,no,no,0.8564224849081498,3.2663725220992474,"(106, 171, 211)","(114, 129, 224)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
315,0.6453802943102319,0.3276026743075453,0.6453802943102319,0.3177776200026865,28819,6383,28819,region_growing,,,,,normal,,-386.0,799.0,percentile,10.75,12756276,12560917,275,149,149,0,126,274,0.5418181818181819,no,623748,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.3908992882585445,"(92, 186, 151)","(113, 144, 215)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
428,0.6281641932105545,0.3252892314038739,0.6281641932105545,0.3028749618066805,34256,9289,34256,region_growing,,,,,normal,,-202.25,815.75,percentile,10.75,12434343,12306918,275,172,172,0,103,274,0.6254545454545455,no,534036,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8595969173697416,"(95, 166, 106)","(95, 120, 168)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
752,0.5847562783445156,0.3590067605989764,0.5847562783445156,0.2257495177455391,56848,13262,56848,region_growing,,,,,normal,,-361.5,863.75,percentile,10.75,8726856,7974937,275,83,83,0,192,274,0.3018181818181818,no,181742,yes,both tolerable,yes,no,,,no,yes,no,no,0.63671875,0.8095744354916121,"(93, 175, 208)","(116, 131, 233)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
13,0.5717081353089181,0.2779876817970084,0.5717081353089181,0.2937204535119096,24618,6028,24618,region_growing,,,,,normal,,-411.25,994.0,percentile,10.75,12584332,12351738,241,66,66,0,175,240,0.2738589211618257,no,119381,yes,both tolerable,yes,no,,,no,yes,no,no,0.6953125,1.1031404921008474,"(111, 173, 167)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
538,0.5052235520153705,0.2676596418951038,0.5052235520153705,0.2375639101202667,25252,6841,25252,region_growing,,,,,normal,,-459.25,637.0504760742188,percentile,10.75,12864510,12333039,275,107,107,0,168,274,0.3890909090909091,no,221131,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
965,0.5927214189208613,0.3619781219075129,0.5927214189208613,0.2307432970133484,41911,9726,41911,region_growing,,,,,normal,,-453.75,703.75,percentile,10.75,12911931,12697873,275,92,92,0,183,274,0.3345454545454545,no,154659,yes,both tolerable,yes,no,,,no,yes,no,no,1.546875,0.7734375,"(109, 154, 182)","(106, 120, 198)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,yes,per_slice,region_growing,standard,5,yes
