IMG_ID,artery_dice,artery_voxel_count,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
873,0.7937080884179154,29696,yes,both tolerable,yes,no,,,no,yes,no,no,2.484375,1.2734135350505742,"(95, 152, 172)","(113, 126, 209)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
376,0.7348084229014338,24284,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.9013878188659973,"(84, 196, 198)","(98, 159, 232)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
821,0.7731345031522652,26421,yes,both tolerable,yes,no,,,no,yes,no,no,2.0432936225919662,1.232890721536179,"(135, 168, 171)","(150, 140, 206)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
988,0.5196055038574724,9530,yes,both tolerable,yes,no,,,no,yes,no,no,1.4453125,1.1377451873456221,"(107, 141, 198)","(115, 116, 218)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
750,0.3787294669795508,17513,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.9740592917816913,"(92, 152, 185)","(106, 122, 207)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
459,0.3966209393394577,53666,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,0.8437861682062879,"(108, 164, 151)","(130, 133, 187)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
798,0.33781858477125215,10362,yes,found but incorrect,yes,yes,,,no,no,no,no,12.885749551497042,1.3443176489975315,"(124, 167, 183)","(121, 143, 207)",,no ostium correct,scipy,N/A,"(2, 2, 1)",99.7
545,0.7004812386664807,27261,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(108, 179, 127)","(123, 141, 177)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
230,0.6573961411437511,20936,yes,both tolerable,yes,no,,,no,yes,no,no,0.703125,0.5,"(97, 199, 169)","(109, 167, 200)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
293,0.7136573225551289,51887,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.907898554441106,"(62, 197, 202)","(95, 157, 218)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
567,0.55139302369603,21878,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,19.037817011477443,"(101, 171, 191)","(135, 71, 196)",,one ostium correct,scipy,N/A,"(2, 2, 1)",99.7
32,0.7758731664351773,31061,yes,both tolerable,yes,no,,,no,yes,no,no,1.5089909983190133,0.5,"(109, 172, 161)","(137, 137, 209)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
647,0.7260806672803441,27152,yes,both tolerable,yes,no,,,no,yes,no,no,1.42984758325079,0.8787673501354397,"(102, 160, 192)","(112, 129, 234)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
526,0.7199569239806158,20852,yes,both tolerable,yes,no,,,no,yes,no,no,1.0938058021479407,1.8564512201543297,"(89, 162, 157)","(111, 129, 193)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
339,0.04981738495252009,1602,yes,both tolerable,yes,no,,,no,yes,no,yes,2.508512120090438,0.0,"(97, 169, 154)","(106, 133, 202)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
810,0.5494961926005691,16347,yes,both tolerable,yes,no,,,no,yes,no,no,1.53125,0.9144296805249708,"(113, 163, 176)","(126, 133, 209)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
570,0.4401672319949515,15961,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,1.5089909983190133,"(94, 187, 198)","(112, 149, 226)",,both ostia tolerable,scipy,N/A,"(2, 2, 1)",99.7
899,0.7952983954506057,23845,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(84, 158, 177)","(107, 124, 207)",,both ostia correct,scipy,N/A,"(2, 2, 1)",99.7
