IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_left_raw_voxels,artery_right_raw_voxels,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,effective_upper_threshold_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_synthetic_tail_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_detected_tail_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_initial_voxel_count,aorta_level_set_raw_voxel_count,aorta_level_set_initial_volume_fraction,aorta_level_set_raw_volume_fraction,aorta_level_set_iterations_used,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_slice_area_jump_p95,aorta_segmentation_feedback,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status
28,0.6709658928059616,0.3671066124177169,0.6709658928059616,0.3038592803882447,24661,6046,24661,,,,,,,1085.75,11168529,10815776,275,18022400,120,120,0,155,274,0.4363636363636363,18.0,26.5,20.96332461519961,20.571428571428573,1.5593674043883312,19.39333333333333,23.5,12.09375,17.8046875,14.08473372583724,13.821428571428571,1.0476999748234102,13.029895833333333,15.7890625,13.821428571428571,,15.453125,12.989583333333332,5.7109375,1.455729166666668,0.4540704137874224,0.025,0.0,False,120,120,0,0,,,0.4363636363636363,0.4363636363636363,disabled,192133,130,1477.946153846154,0.0106607887961647,3731,192433,0.0002070201526988,0.0106774347478693,31,0.8414939062209266,1.3773244642951226,0.0382589887845243,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable
380,0.5520222290830503,0.2980610151545232,0.5520222290830503,0.2539612139285271,42258,9855,42258,,,,,,,1052.25,7807686,7670241,206,13500416,77,77,0,129,205,0.3737864077669903,18.5,28.33333333333333,25.014842300556587,25.83333333333333,2.729485047810123,20.3,28.0,11.779296875,18.04036458333333,15.927419121057511,16.448567708333332,1.7379143077853512,12.925390625,17.828125,16.448567708333332,,11.779296875,16.5546875,3.18359375,1.4962890625000007,0.5162309901570733,0.0,0.0,False,77,77,0,0,,,0.3737864077669903,0.3737864077669903,disabled,208717,87,2399.0459770114944,0.0154600421201835,3463,208992,0.0002565106141914,0.015480411862864,31,0.9886561954624782,1.7031464465005783,0.0658495080293208,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,2.3495403733114086,1.739843048383334,"(93, 120, 120)","(113, 89, 166)",,both ostia tolerable
854,0.6313070183361936,0.3506543494996151,0.6313070183361936,0.2806526688365785,30979,6800,30979,,,,,,,953.25,10723965,10472395,275,18022400,138,138,0,137,274,0.5018181818181818,18.0,25.75,22.80033356337704,23.208333333333336,2.0579037512030114,19.5,25.25,11.4609375,16.3955078125,14.517399886056475,14.777180989583334,1.3103059040862923,12.416015625,16.0771484375,14.777180989583334,,13.37109375,14.64453125,2.228515625,0.7905924479166662,0.5194491171644677,0.0144927536231884,0.0,False,138,138,0,0,,,0.5018181818181818,0.5018181818181818,disabled,253481,148,1712.7094594594594,0.0140647749467329,5082,342782,0.000281982421875,0.019019775390625,31,0.9654155750807588,1.4808770406684864,0.1207224299525226,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable
937,0.6849258025439128,0.3729897179013973,0.6849258025439128,0.3119360846425155,28809,6321,28809,,,,,,,969.75,11867469,11567669,275,18022400,82,82,0,193,274,0.2981818181818181,18.0,27.0,20.98524135079013,20.9375,1.4821743002257537,19.05,22.612500000000004,12.515625,18.7734375,14.591300626721264,14.55810546875,1.0305743181257194,13.245703125,15.722753906250004,14.55810546875,,13.2109375,14.5146484375,4.751302083333332,1.622395833333332,0.4809928720550133,0.024390243902439,0.0,False,82,82,0,0,,,0.2981818181818181,0.2981818181818181,disabled,128721,92,1399.141304347826,0.0071422784978693,2552,128889,0.0001416015625,0.0071516002308238,31,0.8904085872576177,1.2990102035906117,0.0911810411810411,suspected_undersegmentation,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable
315,0.6464329441790685,0.327656943741921,0.6464329441790685,0.3187760004371475,28774,6371,28774,,,,,,,893.25,12624120,12464696,275,18022400,134,134,0,141,274,0.4872727272727272,18.0,29.0,23.2064498933902,23.33333333333333,2.957473609804694,19.0,27.175,12.3046875,19.82421875,15.8637841068097,15.950520833333332,2.021710475452428,12.98828125,18.57666015625,15.950520833333332,,19.140625,14.35546875,7.51953125,2.483723958333334,0.3812039631450702,0.0223880597014925,0.0149253731343283,False,134,134,0,0,,,0.4872727272727272,0.4872727272727272,disabled,388330,138,2813.985507246377,0.0215470747514204,5159,388601,0.0002862548828125,0.0215621115944602,31,0.9921702284450996,2.253945266603952,0.1419999999999999,adequate,yes,both correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(100, 179, 144)","(116, 146, 218)",,both ostia correct
428,0.6272001624344868,0.3306075202568985,0.6272001624344868,0.2965926421775883,34759,9520,34759,,,,,,,916.5,12653455,12504582,275,18022400,172,172,0,103,274,0.6254545454545455,18.0,29.0,23.38606496862311,24.0,3.345826581286704,19.0,27.5,12.5859375,20.27734375,16.35197511477944,16.78125,2.3394646798840624,13.28515625,19.228515625,16.78125,,12.935546875,17.48046875,6.9921875,3.729166666666664,0.3677517382058745,0.0465116279069767,0.0232558139534883,False,172,172,0,0,,,0.6254545454545455,0.6254545454545455,disabled,536100,182,2945.6043956043954,0.0297463156960227,6730,536342,0.0003734241832386,0.0297597434303977,31,0.9960491395020156,2.871215377822278,0.0769811320754716,suspected_oversegmentation,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable
752,0.5450136404971203,0.2667931319616713,0.5450136404971203,0.278220508535449,28462,6899,28462,,,,,,,903.0,8653631,7884489,275,18022400,112,112,0,163,274,0.4072727272727273,18.0,28.0,22.57897630643166,22.58571428571429,2.692001533677478,19.0,25.8875,11.4609375,17.828125,14.376457570110786,14.380747767857144,1.7140478515212068,12.09765625,16.483056640624998,14.380747767857144,,17.828125,16.873046875,4.138671875,1.2734375,0.4000353033736267,0.0267857142857142,0.0,False,112,112,0,0,,,0.4072727272727273,0.4072727272727273,disabled,307281,122,2518.696721311476,0.0170499489524147,4075,307729,0.0002261075106534,0.0170748069069602,31,0.9520576899996,2.8673209946243814,0.0424328147100424,adequate,yes,found but incorrect,yes,yes,,,no,no,no,no,14.23387813433725,1.345667690480501,"(95, 153, 184)","(115, 131, 232)",,no ostium correct
13,0.5726432920428302,0.2777446841573645,0.5726432920428302,0.2948986078854657,24542,5997,24542,,,,,,,1095.5,12370388,12169474,241,15794176,66,66,0,175,240,0.2738589211618257,18.0,23.875,21.43685775503957,22.0625,1.7229744828926377,18.75,23.36111111111111,12.515625,16.6005859375,14.905315157800953,15.34033203125,1.1980056951362874,13.037109375,16.243272569444443,15.34033203125,,15.296875,14.94921875,1.6513671875,0.933153521825396,0.448185455952,0.0454545454545454,0.0,False,66,66,0,0,,,0.2738589211618257,0.2738589211618257,disabled,119369,76,1570.6447368421052,0.0075577858572678,2150,119567,0.0001361261264911,0.0075703221238005,31,0.9224322314049588,1.527724372752504,0.0783214175359338,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable
538,0.5561581525542337,0.284821695636279,0.5561581525542337,0.2713364569179547,21014,5375,21014,,,,,,,733.75,12531697,12105119,275,18022400,107,107,0,168,274,0.3890909090909091,18.0,27.33333333333333,22.944409718007847,23.83333333333333,2.212540182572476,19.5,25.166666666666668,11.4609375,17.403645833333332,14.60913587513781,15.175130208333332,1.4087658193723185,12.416015625,16.024088541666668,15.175130208333332,,11.4609375,15.645089285714286,2.3346354166666643,0.9095982142857116,0.4623895843510253,0.0186915887850467,0.0,False,107,107,0,0,,,0.3890909090909091,0.3890909090909091,disabled,220373,117,1883.5299145299143,0.0122277277166193,4030,220608,0.0002236106178977,0.0122407670454545,31,0.9292049506939551,1.779969509966455,0.0686093366210323,adequate,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable
965,0.4824981901426363,0.2320528682217327,0.4824981901426363,0.2504453219209036,23446,5476,23446,,,,,,,797.25,12633842,12495820,275,18022400,92,92,0,183,274,0.3345454545454545,18.33333333333333,24.0,21.326450512048336,21.666666666666668,1.1477970064177248,19.5,22.49,14.179687499999998,18.5625,16.49467656791239,16.7578125,0.8877492471512091,15.08203125,17.394609375,16.7578125,,18.5625,17.4453125,3.8671875,0.7734375,0.4981893877603994,0.0,0.0,False,92,92,0,0,,,0.3345454545454545,0.3345454545454545,disabled,154597,102,1515.656862745098,0.008578047318892,2970,154767,0.000164794921875,0.0085874800248579,31,0.9539191487168917,1.3453690556754654,0.0692410119840213,adequate,yes,both tolerable,yes,no,,,no,yes,no,no,1.4820293967437017,5.215854595380919,"(107, 153, 174)","(117, 128, 201)",,both ostia tolerable
